,model,real_forwad_time,real_calc_loss_time,real_backward_time,real_update_time,cuda_forward_time,cuda_calc_loss_time,cuda_backward_time,cuda_update_time
39,/resnet18_32_2_8_no,3891395.3513933895,168551.56655865198,6932630.327414128,390638.0120544394,8.151047504620358,0.19167416417996605,18.000307146172513,0.4185103629222617
40,/resnet18_32_4_1_no,3894559.23771873,222927.63033052496,7031516.081140636,3200443.353337654,8.109538431964907,0.24718199029458626,17.99670432221171,3.271956684847428
41,/resnet18_32_4_2_no,4180189.1796500324,205964.07984445884,7127549.216202203,1506669.242514582,8.184694380151399,0.2308162156465914,18.109917141042278,1.5541708650637227
42,/resnet18_32_4_3_no,4242336.456642903,204341.6305897602,7161690.590667531,1032763.6294232015,8.186604091275921,0.2284591532997396,18.097755488372822,1.0698130127308108
43,/resnet18_32_4_8_no,4321862.309526896,199619.10408295528,7147249.446143876,396587.7060272197,8.2086623101596,0.22435866544579655,18.144866194017354,0.42368639149930637
44,/resnet18_32_8_1_no,3911367.6963058976,223055.4791963707,6859359.653920934,3124242.9437459493,8.136623747226718,0.24753129847796798,17.974121133058937,3.2014753276159915
45,/resnet18_32_8_2_no,4178228.787686325,202602.7778353856,6989496.50162022,1494602.0230719377,8.195275024245948,0.22745069494339373,18.05573638006224,1.5417888354150335
46,/resnet18_32_8_3_no,4379002.379001944,215404.0791963707,7200001.703434867,1010548.183279326,8.228875394525732,0.24076950150944548,18.14546255394768,1.0488708565966482
47,/resnet18_32_8_8_no,4353174.590278678,204065.0991574854,7147348.796111471,402341.52495139337,8.234416405596829,0.22888952122442305,18.145499701632822,0.42915742906210047
48,/resnet18_64_1_1_no,4419712.271653543,115096.28425196851,6945372.9,1593623.2503937008,14.247135096272146,0.13611981993311345,31.959787491175135,1.7729299055309746
49,/resnet18_64_1_2_no,5115687.090288714,174164.67139107612,6957838.958530184,982202.5480314961,14.358665076453542,0.19729411041368963,32.2198599307243,1.0479916766185675
50,/resnet18_64_1_3_no,5426579.265879265,186596.46535433072,7372953.735170604,686795.124671916,14.396020233224384,0.2104856019824978,32.25763987518671,0.7289674824653707
51,/resnet18_64_1_8_no,4826731.012073491,166455.56377952755,7002295.393438321,259032.57375328083,14.287178274590199,0.1891124241288722,32.05591606530618,0.2856126908176234
52,/resnet18_64_2_1_no,3774421.879790026,238508.262992126,7389136.341469816,2632424.6790026245,15.03191910728695,0.2643016565229323,33.700790979730805,2.7256817240414657
53,/resnet18_64_2_2_no,3743152.119160105,225549.77375328084,7266616.368766404,1212154.9244094489,15.052346803885433,0.2524184775047415,33.744458843841954,1.2703939606887813
54,/resnet18_64_2_3_no,3594059.6834645667,211345.43412073492,7132373.555905512,815408.5267716536,15.047139676161638,0.23663591797270486,33.68762016371479,0.8591942220195404
55,/resnet18_64_2_8_no,4138002.105511811,295494.90157480317,7623373.257742782,366081.0149606299,15.13439133273648,0.3238370096667858,33.913604073762265,0.3888691402294641
56,/resnet18_64_4_1_no,3973383.926509186,249784.88556430445,7385434.13464567,2602129.7007874018,15.071918032738793,0.2765379273261767,33.822791174640805,2.6862462496194315
57,/resnet18_64_4_2_no,3926818.196850394,245163.48766404198,7366231.116010498,1259577.551968504,15.056574373670763,0.2724940597404802,33.822050419754866,1.309408530048547
58,/resnet18_64_4_3_no,3993253.756167979,262081.36535433072,7351397.702099738,823561.9501312335,15.110662220907336,0.29008091543251135,33.87865142622019,0.8617022670057463
59,/resnet18_64_4_8_no,3935941.150918635,260832.3375328084,7177083.924409449,318919.29553805775,15.102235685433616,0.28814534382635526,33.81960127747904,0.34230840148678016
60,/resnet18_64_8_1_no,4042424.496062992,266790.0916010499,7413319.667979003,2543775.9482939634,15.042493944218153,0.2945211969765778,33.76961254885816,2.6276313882800224
61,/resnet18_64_8_2_no,3811832.0362204723,251933.21548556432,7133825.206299213,1233871.7267716536,15.051822455974389,0.2796293963558405,33.78526565571782,1.2846815581032591
62,/resnet18_64_8_3_no,3930926.848031496,293976.0341207349,7452290.822309711,869024.3860892388,15.078502671674794,0.3224641509901664,33.85205940086385,0.9038041525544829
63,/resnet18_64_8_8_no,4062678.477690289,275105.4895013123,7376417.535695538,367306.87349081365,15.105596604059375,0.3033470404488365,33.857482873110634,0.3897598826157765
